Trip ID,Days on trips,From,To,Description,Mode,Stay type,Days of Stay
2025_1,5,"Wed, 1-Jan","Sun, 5-Jan",Banglore - Mysore ,Flight,Hotel,4
2025_2,5,"Sat, 11-Jan","Wed, 15-Jan",Gandevi Surat - Utraan,Train + Gaadi,Home,4
2025_3,5,"Fri, 14-Feb","Tue, 18-Feb",Rajasthan Chittorgarh Udaipur - Tiny Reception,Train + Flights,Hotel,4
2025_4,8,"Sat, 22-Mar","Sat, 29-Mar",Delhi Gurgaon - Office Office,Train + Flights,Hotel,7
2025_5,3,"Sat, 5-Apr","Mon, 7-Apr",Gandevi Janoi Preps,Gaadi,Home,2
2025_6,3,"Wed, 16-Apr","Fri, 18-Apr",Nashik - BDay Trip,Gaadi,Hotel,2
2025_7,3,"Fri, 18-Apr","Sun, 20-Apr",Gandevi - Good Friday - Easter,Gaadi,Home,2
2025_8,6,"Sat, 3-May","Thu, 8-May",Dhyaan's Janoi Trip,Gaadi,Home,5
2025_9,3,"Mon, 9-Jun","Wed, 11-Jun",Banglore - Bae's +1,Flight / Train / Gaadi,Hotel,2
2025_10,4,"Thu, 10-Jul","Sun, 13-Jul",A decade of togetherness - Poona + Goa ,Gaadi,Hotel,2
2025_10,4,"Thu, 10-Jul","Sun, 13-Jul",Goa BnB,Gaadi,BnB,1
2025_11,2,"Sat, 26-Jul","Sun, 27-Jul",The reset / break  - Karjat / Ganpatipule Poona w/ Tiny,Gaadi (Harrier),Hotel,1
2025_12,7,"Wed, 13-Aug","Tue, 19-Aug",Rajkot Morbi,Flight + Trains,Home,6
2025_13,3,"Fri, 5-Sep","Sun, 7-Sep",Gandevi w/ Panda meet Lara Merly puppies,Gaadi,Home,2
2025_14,4,"Wed, 1-Oct","Sat, 4-Oct",Pune - Koregaon Park - IHCL - Dusshera,Gaadi,Hotel,3
2025_15,2,"Sat, 4-Oct","Sun, 5-Oct","Athavale Farmhouse - Neeraj, Tareshi, Yesha, Monica Navani",Gaadi,Home,1
2025_16,2,"Sun, 19-Oct","Mon, 20-Oct",Karjat - Paramount Resort and Spa w/ Rushi baba and Deval,Gaadi,Hotel,1
2025_17,4,"Wed, 29-Oct","Sat, 1-Nov",BDay - Nashik Trimbakeshwar ,Gaadi,Hotel,3
2025_18,8,"Sat, 13-Dec","Sat, 20-Dec",Goa,Gaadi,BnB,7
