Movie,Date,Where,With,days since
Avataar,10-Jan,PVR Maison,,9
Pathaan ,28-Jan,PVR Juhu,RnP,18
Shehzada,18-Feb,PVR Oberoi,,21
John Wick Chapter 4,28-Feb,PVR Oberoi,,10
Inception,19-Jul,PVR ICON: Phoenix Palladium,,141
Rocky Aur Rani Kii Prem Kahaani,25-Aug,PVR: Citi Mall,,37
OMG 2,27-Aug,PVR Juhu,,2
Sam Bahadur,4-Dec,PVR Juhu,,99
