Trip ID,Days on trips,From,To,Description,Mode,Stay type,Days of Stay
2019_1,6,"Mon, 29-Jan","Sat, 3-Feb",Sri Lanka,Flight + Cab,Hotel,5
2019_2,1,"Thu, 8-Feb","Thu, 8-Feb",Manangadh,Gaadi - Baleno ,,0
2019_3,1,"Tue, 24-Apr","Tue, 24-Apr",Pune - Symbiosis Recruitment drive,Cab,,0
2019_4,6,"Sat, 9-Jun","Thu, 14-Jun",Gokarna - Goa ,Gaadi - Baleno ,Hotel,5
2019_5,2,"Fri, 13-Jul","Sat, 14-Jul",Vadodara - Comedy Factory Show,Train - Shatabadi,Home,1
2019_6,2,"Sat, 21-Jul","Sun, 22-Jul",Pune - Mauli hills ,Gaadi - Endeavour and ISUZU,Home,1
2019_7,2,"Sat, 11-Aug","Sun, 12-Aug",Karjat - Maitrey farm house w/ Pankaj + gang,Gaadi - Baleno ,Home,1
2019_8,3,"Sat, 25-Aug","Mon, 27-Aug",Lavasa ,Gaadi - Innova,Home,2
2019_9,4,"Fri, 31-Aug","Mon, 3-Sep",Rajkot,Train,Home,3
2019_10,3,"Sat, 27-Oct","Mon, 29-Oct",Pune - Birthday,Gaadi - Baleno ,Hotel,2
