Trip ID,Days on trips,From,To,Description,Mode,Stay type,Days of Stay
2019_1,4,"Sat, 29-Dec","Tue, 1-Jan","Lavasa NYE - Sam, Bhatts, kids lots of kids",Gaadi - Baleno ,Home,3
2019_2,2,"Sat, 23-Mar","Sun, 24-Mar","Pune Mauli Hills - Raut, Monica, Neeraj, Ruchi",Gaadi - Baleno and Endeavour,Home,1
2019_3,3,"Sun, 14-Apr","Tue, 16-Apr",Pune - Birthday,Gaadi - Baleno ,Hotel,2
2019_4,4,"Fri, 3-May","Mon, 6-May",PEP Hyderabad,Flight,Hotel,3
2019_5,2,"Sat, 15-Jun","Sun, 16-Jun",Lonavala - Gala's bungalow,Gaadi - Baleno ,Home,1
2019_6,6,"Wed, 14-Aug","Mon, 19-Aug",Morbi - Rajkot Road Tripping,Gaadi - Baleno ,Home,5
2019_7,2,"Sun, 25-Aug","Mon, 26-Aug",Wada - PT Offsite,Gaadi - Baleno ,BnB,1
2019_8,2,"Tue, 10-Sep","Wed, 11-Sep",Chennai - Idli's wedding,Flight,Hotel,1
2019_9,2,"Sat, 21-Sep","Sun, 22-Sep","Tithal - Enjoying the notice, period",Gaadi - Baleno ,Home,1
2019_10,2,"Sat, 23-Nov","Sun, 24-Nov",Pune Mauli hills - Potato shells ka betaaj badhshah,Gaadi - Baleno ,Home,1
2019_11,3,"Sat, 21-Dec","Mon, 23-Dec",Lavasa w/ Panda and Mitul,Gaadi - Baleno + Innova,Home,2
