Visit Count,Cities,States,Stayed
n+,Morbi,Gujarat,Yes
n+,Rajkot,Gujarat,Yes
n+,Ahmedabad,Gujarat,Yes
n+,Gandevi,Gujarat,Yes
n+,Pune,Maharashtra,Yes
n+,Lonavala,Maharashtra,Yes
n+,Nashik,Maharashtra,Yes
n+,Kolhapur,Maharashtra,Yes
n+,Candolim,Goa,Yes
n+,Anjuna,Goa,Yes
n+,Varca,Goa,Yes
1st,Kevadia,Gujarat,Yes
2nd,Phuket,Phuket,Yes
2nd,Koh Samui,Koh Samui,Yes
2nd,Bangkok,Bangkok,Yes
n+,Vadodara,Gujarat,No
1st,Singapore,Singapore,No
