Trip ID,Days on trips,From,To,Description,Mode,Stay type,Days of Stay
2022_1,1,"Sat, 22-Jan","Sat, 22-Jan",Tithal - (one day trip?) ,Gaadi - Baleno ,,0
2022_2,30,"Sat, 29-Jan","Sun, 27-Feb",Banglore,Gaadi - Baleno ,Home,29
2022_3,4,"Mon, 28-Feb","Thu, 3-Mar",Navsari - Polo ,Gaadi - Polo,Home,3
2022_4,4,"Thu, 14-Apr","Sun, 17-Apr",Lavasu - Bhumin Palak ,Gaadi,Home,3
2022_5,8,"Fri, 17-Jun","Fri, 24-Jun",Goa - Maitrey ,Gaadi - CRV,Hotel,7
2022_6,3,"Fri, 26-Aug","Sun, 28-Aug",Lavasu - Tapan Khushboo,Gaadi - Innova,Home,2
2022_7,3,"Fri, 2-Sep","Sun, 4-Sep",Pune Mauli hills - ,CRV and Endeavour,Home,2
2022_8,14,"Mon, 3-Oct","Sun, 16-Oct",Thailand MnM (Dussehra),Flight,Hotel,13
2022_9,4,"Fri, 11-Nov","Mon, 14-Nov",Navsari - Gandevi - Surat - Hari Para,Gaadi - CRV,Home,3
2022_10,3,"Thu, 24-Nov","Sat, 26-Nov",Alibaug - Urvashi Bhavik's wedding,Gaadi - CRV + RoRo,Hotel,2
2022_11,4,"Thu, 1-Dec","Sun, 4-Dec",Gandevi,Gaadi,Home,3
2022_12,15,"Sun, 18-Dec","Sun, 1-Jan","Gujarat road trip - Ahmedabad - Mahudi, Sankheshwar, Amran, Morbi, Rajkot, Junagadh, Girnar, Dwarka, Diu, Gogha-Hazira, Surat, Gandevi NYE",Gaadi - CRV,Hotel,14
