Movie,Date,Where,With,days since
Merry Christmas,"Tuesday, 16-Jan",Juhu PVR,Bae,15
Fighter,"Saturday, 3-Feb",Juhu PVR,RnP ,18
Article 370,"Tuesday, 27-Feb",Juhu PVR,RnP ,24
Laapataa Ladies,"Monday, 11-Mar",Juhu PVR,Bae,13
Kung Fu Panda 4,"Monday, 18-Mar",Juhu PVR,Bae,7
Swatantrya Veer Savarkar,"Sunday, 24-Mar",Inox OnyxDiner,Bae,6
Madgaon Express,"Tuesday, 2-Apr",Juhu PVR,Bae,9
Do aur do pyaar,"Sunday, 21-Apr",Juhu PVR,Bae,19
Inside out 2,"Monday, 17-Jun",Juhu PVR,Bae,57
Munjya,"Saturday, 22-Jun",Ajanta,Bhatts,5
Chandu Champion,"Monday, 1-Jul",Juhu PVR,Bae,9
Kill,"Tuesday, 9-Jul",Juhu PVR,Bae,8
Despicable Me 4,"Wednesday, 10-Jul",Juhu PVR,Bae,1
Fly me to the moon,"Wednesday, 17-Jul",Oberoi PVR,Bae,7
Stree 2,"Tuesday, 27-Aug",Juhu PVR,Bae + Bhatt,41
Deadpool and Wolverine,"Thursday, 29-Aug",Palladium PVR,Bae,2
RHTDM,"Monday, 2-Sep",Oberoi PVR,Bae,4
Tumbbad,"Wednesday, 18-Sep",Juhu PVR ,Bae,16
Udan Choon,"Tuesday, 1-Oct",Ajanta,Bae + Bhatt,13
Joker,"Friday, 4-Oct",Juhu PVR ,Bae,3
Jigra,"Sunday, 20-Oct",Fun Republic,Bae,16
Singham,"Sunday, 3-Nov",Juhu PVR ,RnP ,14
Gladiator 2,"Friday, 15-Nov",Wadala IMAX Miraj,Baithak,12
I want to talk,"Sunday, 24-Nov",Juhu PVR ,Bae,9
Mufasa,"Tuesday, 24-Dec",Juhu PVR ,Bae,30
